Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Month_Name,DayOfWeek
1,24/11/2023,CUST001,Male,34,Beauty,3,50,150,2023,11,November,Friday
2,27/02/2023,CUST002,Female,26,Clothing,2,500,1000,2023,2,February,Monday
3,13/01/2023,CUST003,Male,50,Electronics,1,30,30,2023,1,January,Friday
4,21/05/2023,CUST004,Male,37,Clothing,1,500,500,2023,5,May,Sunday
5,06/05/2023,CUST005,Male,30,Beauty,2,50,100,2023,5,May,Saturday
6,25/04/2023,CUST006,Female,45,Beauty,1,30,30,2023,4,April,Tuesday
7,13/03/2023,CUST007,Male,46,Clothing,2,25,50,2023,3,March,Monday
8,22/02/2023,CUST008,Male,30,Electronics,4,25,100,2023,2,February,Wednesday
9,13/12/2023,CUST009,Male,63,Electronics,2,300,600,2023,12,December,Wednesday
10,07/10/2023,CUST010,Female,52,Clothing,4,50,200,2023,10,October,Saturday
11,14/02/2023,CUST011,Male,23,Clothing,2,50,100,2023,2,February,Tuesday
12,30/10/2023,CUST012,Male,35,Beauty,3,25,75,2023,10,October,Monday
13,05/08/2023,CUST013,Male,22,Electronics,3,500,1500,2023,8,August,Saturday
14,17/01/2023,CUST014,Male,64,Clothing,4,30,120,2023,1,January,Tuesday
15,16/01/2023,CUST015,Female,42,Electronics,4,500,2000,2023,1,January,Monday
16,17/02/2023,CUST016,Male,19,Clothing,3,500,1500,2023,2,February,Friday
17,22/04/2023,CUST017,Female,27,Clothing,4,25,100,2023,4,April,Saturday
18,30/04/2023,CUST018,Female,47,Electronics,2,25,50,2023,4,April,Sunday
19,16/09/2023,CUST019,Female,62,Clothing,2,25,50,2023,9,September,Saturday
20,05/11/2023,CUST020,Male,22,Clothing,3,300,900,2023,11,November,Sunday
21,14/01/2023,CUST021,Female,50,Beauty,1,500,500,2023,1,January,Saturday
22,15/10/2023,CUST022,Male,18,Clothing,2,50,100,2023,10,October,Sunday
23,12/04/2023,CUST023,Female,35,Clothing,4,30,120,2023,4,April,Wednesday
24,29/11/2023,CUST024,Female,49,Clothing,1,300,300,2023,11,November,Wednesday
25,26/12/2023,CUST025,Female,64,Beauty,1,50,50,2023,12,December,Tuesday
26,07/10/2023,CUST026,Female,28,Electronics,2,500,1000,2023,10,October,Saturday
27,03/08/2023,CUST027,Female,38,Beauty,2,25,50,2023,8,August,Thursday
28,23/04/2023,CUST028,Female,43,Beauty,1,500,500,2023,4,April,Sunday
29,18/08/2023,CUST029,Female,42,Electronics,1,30,30,2023,8,August,Friday
30,29/10/2023,CUST030,Female,39,Beauty,3,300,900,2023,10,October,Sunday
31,23/05/2023,CUST031,Male,44,Electronics,4,300,1200,2023,5,May,Tuesday
32,04/01/2023,CUST032,Male,30,Beauty,3,30,90,2023,1,January,Wednesday
33,23/03/2023,CUST033,Female,50,Electronics,2,50,100,2023,3,March,Thursday
34,24/12/2023,CUST034,Female,51,Clothing,3,50,150,2023,12,December,Sunday
35,05/08/2023,CUST035,Female,58,Beauty,3,300,900,2023,8,August,Saturday
36,24/06/2023,CUST036,Male,52,Beauty,3,300,900,2023,6,June,Saturday
37,23/05/2023,CUST037,Female,18,Beauty,3,25,75,2023,5,May,Tuesday
38,21/03/2023,CUST038,Male,38,Beauty,4,50,200,2023,3,March,Tuesday
39,21/04/2023,CUST039,Male,23,Clothing,4,30,120,2023,4,April,Friday
40,22/06/2023,CUST040,Male,45,Beauty,1,50,50,2023,6,June,Thursday
41,22/02/2023,CUST041,Male,34,Clothing,2,25,50,2023,2,February,Wednesday
42,17/02/2023,CUST042,Male,22,Clothing,3,300,900,2023,2,February,Friday
43,14/07/2023,CUST043,Female,48,Clothing,1,300,300,2023,7,July,Friday
